Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
World;WLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1028788;;15890822;37037987;66008983;103653308,3;157824122;219151609;283076811;345719553;408472409;464654307;527999864;588430657;
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;200;220;500;500;500;1000;1500;;
Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;272;;10000;64000;92000;105519;139697;
Algeria;DZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;18000;36000;135000;170000;287039;485000;818000;900000;1000000;
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1148;3601;6282;10341;14616;18526;20672;22941;24502;24763;
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;7458;11700;15942;20000;20000;25000;
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;100;787;1541;2266;4986;6380;7119;6000;
Argentina;ARG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;94000;148000;258849;542879;926722;1583713;2600000;3185284;3474052;3862354;4294000;
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;8;10;1000;1990;;3900;11078;31289;85177;154467;
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1399;6963;12274;13953;15996;18396;18800;19217;;
Australia;AUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122800;258100;516800;1012000;2016000;3900000;;5150000;5102000;5165000;5410000;
Austria;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;50900;190500;320600;451000;601000;870000;1174000;1432000;1622000;1729000;1846000;2076000;2229000;
Azerbaijan;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1000;;;2184;3955;14600;60000;100000;460000;998335;
Bahamas, The;BHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4139;7540;10941;12803;13382;16591;20500;25500;31589;24702;15496;
Bahrain;BHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1176;4980;9737;14956;21432;38628;66705;76865;75983;67625;183004;
Bangladesh;BGD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;43710;50000;55000;60000;65000;
Barbados;BRB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;27319;29630;31942;38800;47133;49216;57305;56190;60643;
Belarus;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;123;750;1564;11419;169800;477800;1092290;1665889;2097264;
Belgium;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10924;23000;144215;460011;815418;1242928;1619944;2010584;2451585;2715308;2962450;3134076;3373143;3543759;
Belize;BLZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;940;2827;5022;7245;7480;8047;8340;8915;9698;
Benin;BEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;21;21;81;196;1498;710;975;1791;3569;3897;
Bermuda;BMU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;18487;23643;28799;33955;40000;40100;;
Bhutan;BTN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2060;3100;8675;13113;
Bolivia;BOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3330;5740;8723;12973;17589;33977;79314;96134;95937;71819;
Bosnia and Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;27;68;213;1500;6637;13702;40000;84691;188460;236152;307489;430247;
Botswana;BWA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1600;1800;3540;8900;10000;11978;15707;
